DATE,MRTSSM7225USN
2008-03-01,33274
2008-04-01,32299
2008-05-01,34833
2008-06-01,33284
2008-07-01,34081
2008-08-01,34746
2008-09-01,31019
2008-10-01,32543
2008-11-01,31117
2008-12-01,32664
2009-01-01,31486
2009-02-01,30307
2009-03-01,33287
2009-04-01,32410
2009-05-01,34642
2009-06-01,33019
2009-07-01,33932
2009-08-01,33681
2009-09-01,30801
2009-10-01,32351
2009-11-01,30383
2009-12-01,32427
2010-01-01,30952
2010-02-01,30536
2010-03-01,34162
2010-04-01,33799
2010-05-01,35152
2010-06-01,34109
2010-07-01,35598
2010-08-01,34878
2010-09-01,32260
2010-10-01,34116
2010-11-01,32037
2010-12-01,34357
2011-01-01,32237
2011-02-01,32452
2011-03-01,36502
2011-04-01,35950
2011-05-01,37165
2011-06-01,36409
2011-07-01,37789
2011-08-01,36986
2011-09-01,35130
2011-10-01,36144
2011-11-01,34057
2011-12-01,37307
2012-01-01,34564
2012-02-01,35522
2012-03-01,39577
2012-04-01,37641
2012-05-01,39103
2012-06-01,38903
2012-07-01,38988
2012-08-01,39105
2012-09-01,36535
2012-10-01,37241
2012-11-01,36533
2012-12-01,39456
2013-01-01,36475
2013-02-01,36050
2013-03-01,41468
2013-04-01,39304
2013-05-01,41206
2013-06-01,39929
2013-07-01,40124
2013-08-01,41042
2013-09-01,37387
2013-10-01,39296
2013-11-01,38975
2013-12-01,40668
2014-01-01,37598
2014-02-01,37363
2014-03-01,43238
2014-04-01,41477
2014-05-01,44414
2014-06-01,42120
2014-07-01,42995
2014-08-01,44084
2014-09-01,40449
2014-10-01,43124
2014-11-01,41392
2014-12-01,44769
2015-01-01,42329
2015-02-01,40869
2015-03-01,46921
2015-04-01,45692
2015-05-01,48712
2015-06-01,46061
2015-07-01,47019
2015-08-01,46832
2015-09-01,43585
2015-10-01,46475
2015-11-01,43680
2015-12-01,47965
2016-01-01,44114
2016-02-01,45177
2016-03-01,49149
2016-04-01,48961
2016-05-01,49710
2016-06-01,47905
2016-07-01,49407
2016-08-01,48498
2016-09-01,46246
2016-10-01,47845
2016-11-01,46140
2016-12-01,50173
2017-01-01,46476
2017-02-01,45941
2017-03-01,52510
2017-04-01,50888
2017-05-01,52493
2017-06-01,51661
2017-07-01,51817
2017-08-01,51571
2017-09-01,49033
2017-10-01,49989
2017-11-01,48125
2017-12-01,53624
2018-01-01,47832
2018-02-01,47574
2018-03-01,55339
2018-04-01,52260
2018-05-01,55973
2018-06-01,56166
2018-07-01,56424
2018-08-01,56620
2018-09-01,51470
2018-10-01,52897
2018-11-01,50948
2018-12-01,55098
2019-01-01,49902
2019-02-01,49625
2019-03-01,57775
2019-04-01,55242
2019-05-01,59243
2019-06-01,58497
2019-07-01,58997
2019-08-01,59821
2019-09-01,54576
2019-10-01,56586
2019-11-01,55153
2019-12-01,58615
2020-01-01,55020
2020-02-01,56030
2020-03-01,43193
2020-04-01,28306
2020-05-01,40896
2020-06-01,49949
2020-07-01,52916
2020-08-01,54319
2020-09-01,52204
2020-10-01,54647
2020-11-01,48526
2020-12-01,49407
2021-01-01,50443
2021-02-01,47635
2021-03-01,61460
2021-04-01,63200
2021-05-01,68106
2021-06-01,67985
2021-07-01,71649
2021-08-01,68384
2021-09-01,64366
2021-10-01,67548
2021-11-01,63445
2021-12-01,68047
2022-01-01,60875
2022-02-01,62575
2022-03-01,72750
2022-04-01,73965
2022-05-01,77134
2022-06-01,75269
2022-07-01,77477
2022-08-01,76763
2022-09-01,73117
2022-10-01,75740
2022-11-01,70367
2022-12-01,76944
2023-01-01,73769
2023-02-01,71640
2023-03-01,81747
2023-04-01,79298
2023-05-01,83588.0
2023-06-01,83171.0
2023-07-01,84580.0
2023-08-01,82945.0
